medallion,hack_license,vendor_id,pickup_datetime	rate_code,store_and_fwd_flag,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
2013000530,2013000528,CMT,2013-01-01 00:03:31	1,N,2013-01-01 00:12:57,1,580,2.90,-73.977074,40.683666,-73.958725,40.645023,CSH,11.5,0.5,0.5,0,0,12.5
2013000533,2013000531,CMT,2013-01-01 00:03:34	1,N,2013-01-01 00:06:37,1,185,.60,-73.979141,40.764526,-73.988197,40.768974,CRD,4.5,0.5,0.5,1.65,0,7.15
2013000545,2013000543,CMT,2013-01-01 00:03:41	1,N,2013-01-01 00:13:51,1,617,3.40,-73.976143,40.765606,-73.976143,40.765606,CRD,12,0.5,0.5,2.1,0,15.1
2013000548,2013000546,CMT,2013-01-01 00:03:42	1,N,2013-01-01 00:21:05,2,1043,8.80,-73.962608,40.758183,-73.862801,40.833969,CSH,26,0.5,0.5,0,0,27
2013000557,2013000555,CMT,2013-01-01 00:03:48	1,N,2013-01-01 00:19:24,1,942,3.50,-74.011406,40.715134,-73.983154,40.731529,CRD,15,0.5,0.5,3.2,0,19.2
2013000559,2013000557,CMT,2013-01-01 00:03:51	1,N,2013-01-01 00:10:20,1,391,.70,-73.95002,40.711212,-73.942841,40.707355,CSH,6,0.5,0.5,0,0,7
2013000563,2013000561,CMT,2013-01-01 00:03:53	1,N,2013-01-01 00:18:01,1,850,.80,-73.974411,40.762623,-73.982468,40.75135,CSH,9.5,0.5,0.5,0,0,10.5
2013000566,2013000564,CMT,2013-01-01 00:03:54	1,N,2013-01-01 00:07:28,1,215,1.20,-74.001938,40.726345,-73.993599,40.741795,CRD,5.5,0.5,0.5,1.3,0,7.8
2013000570,2013000568,CMT,2013-01-01 00:03:56	1,N,2013-01-01 00:23:56,1,1201,6.00,-73.974365,40.788784,-73.950653,40.761242,CSH,19.5,0.5,0.5,0,0,20.5
2013000586,2013000583,VTS,2013-01-01 00:04:00	1,Y,2013-01-01 00:29:05,1,1508,9.10,-73.956108,40.76762,-73.864662,40.763062,CSH,29.5,0.5,0.5,0,0,30.5
2013000598,2013000595,VTS,2013-01-01 00:04:00	1,,2013-01-01 00:12:00,6,480,2.03,-74.005363,40.72562,-73.990944,40.748695,CSH,8,0.5,0.5,0,0,9
2013000611,2013000608,VTS,2013-01-01 00:04:00	1,,2013-01-01 00:08:00,6,240,.87,-73.94828,40.776386,-73.952789,40.768147,CSH,5,0.5,0.5,0,0,6
2013000619,2013000616,VTS,2013-01-01 00:04:00	1,,2013-01-01 00:29:00,6,1500,10.22,-73.982101,40.771893,-73.867615,40.768467,CRD,31,0.5,0.5,2,4.8,38.8
2013000624,2013000621,VTS,2013-01-01 00:04:00	1,,2013-01-01 00:11:00,1,420,2.15,-73.968765,40.754452,-73.947769,40.771141,CRD,8.5,0.5,0.5,2.7,0,12.2
2013000629,2013000626,CMT,2013-01-01 00:04:00	1,,2013-01-01 00:10:00,2,360,1.83,-73.99839,40.735428,-74.010132,40.715862,CSH,7.5,0.5,0.5,0,0,8.5
2013000636,2013000633,VTS,2013-01-01 00:04:00	1,N,2013-01-01 00:17:56,1,835,3.00,-73.994476,40.750111,-73.986542,40.722179,CRD,12.5,0.5,0.5,1.5,0,15
2013000641,2013000638,VTS,2013-01-01 00:04:00	1,,2013-01-01 00:11:00,5,420,1.11,-73.99543,40.721714,-74.001732,40.709496,CSH,6.5,0.5,0.5,0,0,7.5
2013000648,2013000645,VTS,2013-01-01 00:04:00	1,,2013-01-01 00:12:00,1,480,1.67,-73.981148,40.772678,-73.971413,40.757904,CSH,8,0.5,0.5,0,0,9
2013000654,2013000651,VTS,2013-01-01 00:04:00	1,,2013-01-01 00:17:00,1,780,1.91,-73.99086,40.736561,-73.977852,40.751709,CSH,10.5,0.5,0.5,0,0,11.5
2013000666,2013000663,VTS,2013-01-01 00:04:00	1,,2013-01-01 00:18:00,5,840,4.55,-73.98436,40.744267,-73.937805,40.756863,CRD,15.5,0.5,0.5,4,0,20.5
2013000670,2013000667,VTS,2013-01-01 00:04:00	1,,2013-01-01 00:14:00,1,600,1.89,-73.996437,40.723759,-74.007637,40.740891,CSH,9,0.5,0.5,0,0,10
2013000672,2013000669,CMT,2013-01-01 00:04:01	1,,2013-01-01 00:27:00,1,1380,8.96,-73.993935,40.756489,-73.849709,40.728336,CSH,29,0.5,0.5,0,4.8,34.8
2013000673,2013000670,CMT,2013-01-01 00:04:01	1,N,2013-01-01 00:24:14,2,1212,12.20,-74.008247,40.737698,-73.908653,40.884003,CSH,35.5,0.5,0.5,0,2.2,38.7
2013000678,2013000675,CMT,2013-01-01 00:04:03	1,N,2013-01-01 00:22:48,1,1126,3.70,-74.004387,40.742313,-73.964233,40.762218,CSH,15.5,0.5,0.5,0,0,16.5
2013000689,2013000686,CMT,2013-01-01 00:04:12	1,N,2013-01-01 00:29:21,2,1518,2.40,-73.982925,40.771965,-73.995308,40.749809,CRD,17,0.5,0.5,2,0,20
2013000694,2013000691,CMT,2013-01-01 00:04:14	1,N,2013-01-01 00:22:33,1,1101,1.90,-74.008194,40.737514,-73.986137,40.752258,CRD,13,0.5,0.5,2.8,0,16.8
2013000701,2013000698,CMT,2013-01-01 00:04:16	1,N,2013-01-01 00:21:06,2,1012,7.80,-73.866325,40.771126,-73.93866,40.707722,CRD,24.5,0.5,0.5,7.65,0,33.15
2013000710,2013000707,CMT,2013-01-01 00:04:22	1,N,2013-01-01 00:04:34,1,17,.00,-73.978188,40.752281,-73.978233,40.75248,CSH,2.5,0.5,0.5,0,0,3.5
2013000716,2013000713,CMT,2013-01-01 00:04:26	1,N,2013-01-01 00:16:38,2,735,2.50,-73.989136,40.718636,-73.993034,40.742626,CRD,10.5,0.5,0.5,2.3,0,13.8
2013000722,2013000719,CMT,2013-01-01 00:04:29	1,N,2013-01-01 00:15:02,1,635,2.10,-74.000633,40.74231,-73.973343,40.748699,CSH,9.5,0.5,0.5,0,0,10.5
2013000725,2013000722,CMT,2013-01-01 00:04:32	1,N,2013-01-01 00:30:08,2,1538,5.10,-73.997025,40.717972,-73.980667,40.76572,CSH,21.5,0.5,0.5,0,0,22.5
2013000735,2013000732,CMT,2013-01-01 00:04:36	1,N,2013-01-01 00:14:23,1,590,1.90,-74.003593,40.723625,-73.984062,40.73111,CSH,9,0.5,0.5,0,0,10
2013000743,2013000740,CMT,2013-01-01 00:04:37	1,N,2013-01-01 00:14:33,1,596,3.80,-73.983505,40.730202,-73.956955,40.777496,CRD,12.5,0.5,0.5,2,0,15.5
2013000755,2013000752,CMT,2013-01-01 00:04:44	1,N,2013-01-01 00:23:25,1,1127,4.90,-73.988144,40.723873,-73.981461,40.777687,CRD,17.5,0.5,0.5,4.62,0,23.12
2013000767,2013000764,CMT,2013-01-01 00:04:51	1,N,2013-01-01 00:17:33,3,769,1.80,-73.961922,40.713669,-73.939461,40.705143,CSH,10,0.5,0.5,0,0,11
2013000771,2013000768,CMT,2013-01-01 00:04:53	1,N,2013-01-01 00:10:34,1,343,1.50,-73.981911,40.752453,-73.996475,40.732254,CSH,7,0.5,0.5,0,0,8
2013000777,2013000774,CMT,2013-01-01 00:04:57	1,N,2013-01-01 00:30:29,2,1535,2.10,-73.984962,40.753506,-73.988426,40.769253,CSH,16.5,0.5,0.5,0,0,17.5
2013000779,2013000776,CMT,2013-01-01 00:04:58	1,N,2013-01-01 00:10:13,1,315,1.70,-73.9338,40.802586,-73.948326,40.7906,CSH,7,0.5,0.5,0,0,8
2013000784,2013000781,VTS,2013-01-01 00:05:00	1,N,2013-01-01 00:06:54,1,115,.80,-73.982231,40.73172,-73.974648,40.742058,CSH,4.5,0.5,0.5,0,0,5.5
2013000796,2013000793,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:23:00,1,1080,4.38,-73.960922,40.718899,-73.997437,40.735077,CSH,16.5,0.5,0.5,0,0,17.5
2013000805,2013000802,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:14:00,1,540,2.13,-73.990692,40.736832,-73.974724,40.75061,CSH,9,0.5,0.5,0,0,10
2013000810,2013000807,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:16:00,1,660,2.35,-74.002197,40.732712,-74.002327,40.709053,CSH,10,0.5,0.5,0,0,11
2013000817,2013000814,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:15:00,2,600,1.54,-73.989548,40.726276,-73.996666,40.739826,CRD,8.5,0.5,0.5,1,0,10.5
2013000822,2013000819,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:09:00,1,240,1.03,-73.958488,40.778328,-73.947739,40.779518,CSH,5.5,0.5,0.5,0,0,6.5
2013000829,2013000826,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:15:00,1,600,1.92,-73.995628,40.723351,-73.991188,40.745224,CRD,9,0.5,0.5,1.9,0,11.9
2013000835,2013000832,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:19:00,3,840,2.48,-73.98864,40.719501,-73.992416,40.74345,CRD,11.5,0.5,0.5,3,0,15.5
2013000847,2013000844,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:09:00,2,240,1.94,-73.975159,40.741474,-73.975021,40.720013,CRD,7.5,0.5,0.5,0,0,8.5
2013000851,2013000848,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:20:00,1,900,2.36,-73.956284,40.771332,-73.979759,40.758881,CSH,12.5,0.5,0.5,0,0,13.5
2013000859,2013000856,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:22:00,1,1020,7.24,-73.864616,40.769947,-73.946617,40.717178,CRD,22,0.5,0.5,5.62,0,28.62
2013000864,2013000861,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:33:00,2,1680,11.15,-73.97506,40.689308,-73.945175,40.802406,CSH,34,0.5,0.5,0,0,35
2013000876,2013000873,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:13:00,1,480,1.42,-73.988373,40.718376,-73.974785,40.721581,CSH,7.5,0.5,0.5,0,0,8.5
2013000881,2013000878,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:12:00,1,420,1.10,-74.00592,40.740196,-74.005348,40.727985,CRD,7,0.5,0.5,1.5,0,9.5
2013000888,2013000885,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:12:00,1,420,2.21,-73.963203,40.762547,-73.981705,40.736828,CRD,8.5,0.5,0.5,2,0,11.5
2013000894,2013000891,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:36:00,1,1860,7.09,-73.984047,40.744099,-73.99221,40.666157,CSH,27,0.5,0.5,0,0,28
2013000901,2013000898,VTS,2013-01-01 00:05:00	1,,2013-01-01 00:11:00,2,360,1.88,-74.008026,40.714828,-73.995911,40.736954,CSH,7.5,0.5,0.5,0,0,8.5
